DEG ID	Gene Name
DEG20010267	RBA50
DEG20010268	CAB1
DEG20010269	WBP1
DEG20010270	MMS21
DEG20010271	SNU13
DEG20010272	MCM3
DEG20010273	HYP2
DEG20010274	UTR5
DEG20010275	POL5
DEG20010276	PCM1
DEG20010277	PMI40
DEG20010278	YND1
DEG20010279	NUG1
DEG20010280	SEC3
DEG20010281	NTF2
DEG20010282	PRE1
DEG20010283	PRP22
DEG20010284	BIM1
DEG20010285	SPC25
DEG20010286	RPN3
DEG20010287	SRB4
DEG20010288	PRO3
DEG20010289	GCD11
DEG20010290	ARB1
DEG20010291	KRE29
DEG20010292	SAH1
DEG20010293	ISD11
DEG20010294	FCY21
DEG20010295	YOS1
DEG20010296	UTP7
DEG20010297	TSC11
DEG20010298	PUP3
DEG20010299	RTT105
DEG20010300	MAM1
DEG20010301	LSM4
DEG20010302	RSP5
DEG20010303	NSA2
DEG20010304	LCP5
DEG20010305	GLC7
DEG20010306	GDI1
DEG20010307	LSM5
DEG20010308	SCC4
DEG20010309	SPT15
DEG20010310	COG3
DEG20010311	BUR6
DEG20010312	PAB1
DEG20010313	CCA1
DEG20010314	RAD3
DEG20010315	BRR2
DEG20010316	SPB4
DEG20010317	SEC4
DEG20010318	SMC1
DEG20010319	CDC4
DEG20010320	GNA1
DEG20010321	SMX2
DEG20010322	FRS2
DEG20010323	EPL1
DEG20010324	CAK1
DEG20010325	MOB2
DEG20010326	TUB2
DEG20010327	YPT1
DEG20010328	ACT1
DEG20010329	SEC53
DEG20010330	NIC96
DEG20010331	YPI1
DEG20010332	RPN11
DEG20010333	SAD1
DEG20010334	ECO1
DEG20010335	CDC14
DEG20010336	PTR3
DEG20010337	SMC2
DEG20010338	RSC8
DEG20010339	KEG1
DEG20010340	PRE4
DEG20010341	RET2
DEG20010342	RPN12
DEG20010343	ERG26
DEG20010344	PMA1
DEG20010345	SCL1
DEG20010346	PUF4
DEG20010347	JAC1
DEG20010348	STT3
DEG20010349	RPL30
DEG20010350	HEM2
DEG20010351	RNA15
DEG20010352	ALG13
DEG20010353	RPT6
DEG20010354	OLE1
DEG20010355	DUO1
DEG20010356	ALG2
DEG20010357	MNP1
DEG20010358	HSF1
DEG20010359	MPS2
DEG20010360	NBP35
DEG20010361	NUP145
DEG20010362	SPC105
DEG20010363	SRM1
DEG20010364	USE1
DEG20010365	LSG1
DEG20010366	RPL28
DEG20010367	NSA1
DEG20010368	TAF6
DEG20010369	SLD3
DEG20010370	CDC20
DEG20010371	PRP43
DEG20010372	NAB2
DEG20010373	RPS2
DEG20010374	CWC23
DEG20010375	CEG1
DEG20010376	SEC27
DEG20010377	GPI10
DEG20010378	TIP20
DEG20010379	INO80
DEG20010380	CDC43
DEG20010381	CUP2
DEG20010382	SUA5
DEG20010383	ROK1
DEG20010384	NUP49
DEG20010385	ATG1
DEG20010386	RPS26A
DEG20010387	MCM6
DEG20010388	SPT16
DEG20010389	VRG4
DEG20010390	SEC15
DEG20010391	CSE1
DEG20010392	GUS1
DEG20010393	BRR6
DEG20010394	SWC4
DEG20010395	TFG2
DEG20010396	SEC9
DEG20010397	SNU71
DEG20010398	THG1
DEG20010399	ERV1
DEG20010400	POP6
DEG20010401	TAM41
DEG20010402	TFC4
DEG20010403	UFD1
DEG20010404	ERG25
DEG20010405	VHT1
DEG20010406	SMD1
DEG20010407	PRP38
DEG20010408	TOM20
DEG20010409	GCD2
DEG20010410	UTP22
DEG20010411	PRP31
DEG20010412	VAS1
DEG20010413	RRP46
DEG20010414	ESP1
DEG20010415	TEL2
DEG20010416	NOP7
DEG20010417	DAM1
DEG20010418	SPT6
DEG20010419	NUP57
DEG20010420	COG2
DEG20010421	UTP8
DEG20010422	CBF2
DEG20010423	ENP2
DEG20010424	NAT2
DEG20010425	PTI1
DEG20010426	MTR3
DEG20010427	YIP1
DEG20010428	ERG1
DEG20010429	OKP1
DEG20010430	TYS1
DEG20010431	TFG1
DEG20010432	HIP1
DEG20010433	SKI6
DEG20010434	YPP1
DEG20010435	ZPR1
DEG20010436	GPI1
DEG20010437	CRM1
DEG20010438	LSC2
DEG20010439	SDA1
DEG20010440	BRF1
DEG20010441	YGR251W
DEG20010442	PUP2
DEG20010443	MES1
DEG20010444	FOL2
DEG20010445	TAF1
DEG20010446	CAB4
DEG20010447	CWC22
DEG20010448	PXR1
DEG20010449	PAU12
DEG20010450	RPS20
DEG20010451	TIM10/MRS11
DEG20010452	ERG11
DEG20010453	SPO13
DEG20010454	DED81
DEG20010455	YHR020W
DEG20010456	MYO1
DEG20010457	MAS2
DEG20010458	BRL1
DEG20010459	BCD1
DEG20010460	NCP1
DEG20010461	MED6
DEG20010462	RPP1
DEG20010463	RRP3
DEG20010464	DYS1
DEG20010465	RRP4
DEG20010466	TRM5
DEG20010467	ERG7
DEG20010468	NOP10
DEG20010469	QNS1
DEG20010470	KSP1
DEG20010471	SAM35
DEG20010472	STE12
DEG20010473	IPI1
DEG20010474	NAM8
DEG20010475	RPF1
DEG20010476	SFB3
DEG20010477	BIG1
DEG20010478	CDC12
DEG20010479	ORC6
DEG20010480	YHR122W
DEG20010481	RPC10
DEG20010482	IMP3
DEG20010483	DNA2
DEG20010484	CDC23
DEG20010485	NMD3
DEG20010486	SPC97
DEG20010487	KOG1
DEG20010488	GPI16
DEG20010489	ERG9
DEG20010490	UTP9
DEG20010491	RIX1
DEG20010492	CFD1
DEG20010493	BET1
DEG20010494	FAF1
DEG20010495	RPB3
DEG20010496	TIM44
DEG20010497	IRR1
DEG20010498	ULP2
DEG20010499	MET30
DEG20010500	NEO1
DEG20010501	MMF1
DEG20010502	SNP1
DEG20010503	ARC15
DEG20010504	YRB2
DEG20010505	SEC6
DEG20010506	RPN2
DEG20010507	THS1
DEG20010508	CAB2
DEG20010509	YIL091C
DEG20010510	SHQ1
DEG20010511	MOB1
DEG20010512	SEC24
DEG20010513	NUP159
DEG20010514	RHO3
DEG20010515	STH1
DEG20010516	TAO3
DEG20010517	CCT2
DEG20010518	SSL2
DEG20010519	TID3
DEG20010520	SLN1
DEG20010521	MCM10
DEG20010522	DJP1
DEG20010523	PAN1
DEG20010524	PRI1
DEG20010525	DSN1
DEG20010526	STS1
DEG20010527	SQT1
DEG20010528	RPR2
DEG20010529	SEC11
DEG20010530	PRE3
DEG20010531	OST1
DEG20010532	CYR1
DEG20010533	CCT8
DEG20010534	NOP9
DEG20010535	RPC17
DEG20010536	CCT3
DEG20010537	MPS3
DEG20010538	RRN7
DEG20010539	RNR2
DEG20010540	BET4
DEG20010541	HCA4
DEG20010542	KAR2
DEG20010543	TAD2
DEG20010544	NUP192
DEG20010545	NSP1
DEG20010546	MTR4
DEG20010547	TIM54
DEG20010548	NUP82
DEG20010549	UTP18
DEG20010550	PSF2
DEG20010551	SMC3
DEG20010552	NET1
DEG20010553	ARP4
DEG20010554	EXO70
DEG20010555	TRL1
DEG20010556	DPB11
DEG20010557	GWT1
DEG20010558	PHS1
DEG20010559	PAM16
DEG20010560	UTP10
DEG20010561	CCT7
DEG20010562	MTC1
DEG20010563	GCD14
DEG20010564	TIM17
DEG20010565	SSY5
DEG20010566	FAR1
DEG20010567	TPK1
DEG20010568	ERG20
DEG20010569	RFA3
DEG20010570	KRE9
DEG20010571	CDC6
DEG20010572	PRP21
DEG20010573	MPP10
DEG20010574	YJR003C
DEG20010575	POL31
DEG20010576	SUI2
DEG20010577	YJR012C
DEG20010578	GPI14
DEG20010579	ILV3
DEG20010580	ESS1
DEG20010581	LSM8
DEG20010582	URB2
DEG20010583	NUP85
DEG20010584	SSC1
DEG20010585	TAH11
DEG20010586	CDC8
DEG20010587	CCT5
DEG20010588	ARP3
DEG20010589	YAE1
DEG20010590	RFC2
DEG20010591	NPA3
DEG20010592	CDC11
DEG20010593	FIP1
DEG20010594	SFC1
DEG20010595	NNF1
DEG20010596	RPS5
DEG20010597	YJR141W
DEG20010598	AUR1
DEG20010599	SFT1
DEG20010600	PRP40
DEG20010601	ARC19
DEG20010602	URB1
DEG20010603	SWD2
DEG20010604	RAM2
DEG20010605	MAK11
DEG20010606	CDC16
DEG20010607	URA6
DEG20010608	TFA1
DEG20010609	TTI1
DEG20010610	UGP1
DEG20010611	SPC42
DEG20010612	PRI2
DEG20010613	CSE4
DEG20010614	ASK1
DEG20010615	TOA2
DEG20010616	MPE1
DEG20010617	FBA1
DEG20010618	DHR2
DEG20010619	RRP14
DEG20010620	CAB3
DEG20010621	MIF2
DEG20010622	YJU2
DEG20010623	UTP11
DEG20010624	HSL1
DEG20010625	GFA1
DEG20010626	SLD2
DEG20010627	ABF1
DEG20010628	SRP21
DEG20010629	RRN3
DEG20010630	HSK3
DEG20010631	SDH3
DEG20010632	RPC25
DEG20010633	RPT1
DEG20010634	GPM1
DEG20010635	SRP102
DEG20010636	MCD4
DEG20010637	TPK3
DEG20010638	EBP2
DEG20010639	SNU114
DEG20010640	RPL17A
DEG20010641	FAS1
DEG20010642	MTR2
DEG20010643	HYM1
DEG20010644	ACP1
DEG20010645	SDS22
DEG20010646	MIA40
DEG20010647	YKT6
DEG20010648	TOR2
DEG20010649	LOS1
DEG20010650	UBA1
DEG20010651	PAP1
DEG20010652	ECM9
DEG20010653	RSC4
DEG20010654	NTR2
DEG20010655	RPC37
DEG20010656	SPC34
DEG20010657	KAE1
DEG20010658	TFA2
DEG20010659	LAS1
DEG20010660	BET3
DEG20010661	DRE2
DEG20010662	TRZ1
DEG20010663	RPF2
DEG20010664	DAD2
DEG20010665	PRP16
DEG20010666	SFI1
DEG20010667	ORC3
DEG20010668	DRS1
DEG20010669	SOF1
DEG20010670	DPS1
DEG20010671	GPI13
DEG20010672	RIX7
DEG20010673	GRC3
DEG20010674	PRP19
DEG20010675	COF1
DEG20010676	NOC3
DEG20010677	SSL1
DEG20010678	NSE1
DEG20010679	PAM18
DEG20010680	RLP24
DEG20010681	TEN1
DEG20010682	GAT3
DEG20010683	SDO1
DEG20010684	SED5
DEG20010685	RPL15A
DEG20010686	RSC58
DEG20010687	STU2
DEG20010688	FCF2
DEG20010689	REX2
DEG20010690	FRS1
DEG20010691	SPC3
DEG20010692	RGR1
DEG20010693	RPL10
DEG20010694	BOS1
DEG20010695	SMC4
DEG20010696	GAA1
DEG20010697	HRT3
DEG20010698	YLR099W-A
DEG20010699	ERG27
DEG20010700	CDC45
DEG20010701	SEN2
DEG20010702	MDN1
DEG20010703	CFT2
DEG20010704	MSL5
DEG20010705	CLF1
DEG20010706	APC2
DEG20010707	DIP2
DEG20010708	YLR132C
DEG20010709	RRN5
DEG20010710	RMP1
DEG20010711	SMD3
DEG20010712	ACS2
DEG20010713	MAS1
DEG20010714	SEC10
DEG20010715	RPS31
DEG20010716	CBF5
DEG20010717	EMG1
DEG20010718	NMT1
DEG20010719	PWP1
DEG20010720	NOP56/SIK1
DEG20010721	SEC13
DEG20010722	TUB4
DEG20010723	CDC123
DEG20010724	CCC1
DEG20010725	UTP13
DEG20010726	IFH1
DEG20010727	CDC42
DEG20010728	YLR243W
DEG20010729	YEF3
DEG20010730	HSP60
DEG20010731	YCS4
DEG20010732	MCM5
DEG20010733	SMD2
DEG20010734	DBP9
DEG20010735	YSH1
DEG20010736	GCD7
DEG20010737	YHC1
DEG20010738	STT4
DEG20010739	CDC25
DEG20010740	CDC3
DEG20010741	TAD3
DEG20010742	SFH1
DEG20010743	CWC24
DEG20010744	SGD1
DEG20010745	RPP0
DEG20010746	KAP95
DEG20010747	ILV5
DEG20010748	ADE13
DEG20010749	STP3
DEG20010750	SEC61
DEG20010751	AFG2
DEG20010752	SFP1
DEG20010753	UTP21
DEG20010754	SPP382
DEG20010755	SEN1
DEG20010756	LSM3
DEG20010757	SEC39
DEG20010758	NBP1
DEG20010759	GAB1
DEG20010760	SPT5
DEG20010761	TAF11
DEG20010762	NSE5
DEG20010763	YML6
DEG20010764	NDC1
DEG20010765	RRN11
DEG20010766	PRP39
DEG20010767	RSE1
DEG20010768	TEM1
DEG20010769	ORC1
DEG20010770	ITT1
DEG20010771	POB3
DEG20010772	BET5
DEG20010773	TUB1
DEG20010774	RPM2
DEG20010775	PRE8
DEG20010776	UTP14
DEG20010777	TAF13
DEG20010778	SEC65
DEG20010779	TAF8
DEG20010780	PGA3
DEG20010781	ERG13
DEG20010782	RSC9
DEG20010783	MSC1
DEG20010784	ERO1
DEG20010785	CDC5
DEG20010786	TAF4
DEG20010787	SEC59
DEG20010788	TAP42
DEG20010789	HOF1
DEG20010790	ARP9
DEG20010791	MCM1
DEG20010792	NUP116
DEG20010793	ERB1
DEG20010794	SEN15
DEG20010795	RNA14
DEG20010796	MOT3
DEG20010797	TVP18
DEG20010798	PDS5
DEG20010799	SEC14
DEG20010800	UTP15
DEG20010801	CTF13
DEG20010802	MED11
DEG20010803	FOL3
DEG20010804	SPC24
DEG20010805	ECM16
DEG20010806	RRB1
DEG20010807	ERG29
DEG20010808	TIF34
DEG20010809	SWP1
DEG20010810	MSS11
DEG20010811	CEP3
DEG20010812	SPT21
DEG20010813	YMR185W
DEG20010814	VTI1
DEG20010815	CIK1
DEG20010816	ROT1
DEG20010817	TOM40
DEG20010818	ERG12
DEG20010819	DML1
DEG20010820	CEF1
DEG20010821	TRS130
DEG20010822	ERG8
DEG20010823	TAF7
DEG20010824	RRP5
DEG20010825	RNA1
DEG20010826	TAF9
DEG20010827	RNT1
DEG20010828	CUS1
DEG20010829	TIF11
DEG20010830	PRP24
DEG20010831	RRN9
DEG20010832	FCP1
DEG20010833	GPI12
DEG20010834	HSH155
