ENST00000236957	P24534
ENST00000237380	Q9H204
ENST00000237500	O14950
ENST00000237530	P04844-1
ENST00000237654	Q14094-1
ENST00000237889	O43676
ENST00000238081	P27348
ENST00000238633	J3KMY5
ENST00000238647	Q9H1B7
ENST00000238823	Q8NCA5
ENST00000239231	Q9H999
ENST00000239666	Q5EBL8-1
ENST00000239878	P61960-1
ENST00000239906	Q9NYF3
ENST00000239944	Q9Y6X1
ENST00000240055	P25208
ENST00000240079	Q9Y3C0
ENST00000240185	Q13148-1
ENST00000240304	O95232-1
ENST00000240851	Q92734-1
ENST00000241600	Q9Y399
ENST00000241704	P53621-1
ENST00000242577	P63167
ENST00000242719	Q9Y3C5
ENST00000242776	O00148-1
ENST00000242784	Q9BQ61
ENST00000243325	A0A1B0GUI0
ENST00000243563	P09012
ENST00000243918	Q8N2H4-1
ENST00000243997	P56381
ENST00000244007	P19174-2
ENST00000244020	Q13247-1
ENST00000244061	Q9Y508-1
ENST00000244230	O00566
ENST00000244496	Q96EU6-1
ENST00000244520	P09234
ENST00000244711	Q16626
ENST00000245046	Q9P0I2-1
ENST00000245458	P62273-1
ENST00000245539	Q9Y2R9
ENST00000245812	Q9BT30
ENST00000245816	Q16740
ENST00000245857	J3KTJ3
ENST00000246024	Q9H1E5
ENST00000246117	Q969V3-1
ENST00000246151	Q9GZP4-1
ENST00000246194	Q9UKM9-1
ENST00000246337	P06132
ENST00000246548	Q9UBT2-1
ENST00000246747	P36404-1
ENST00000246802	Q9NZM5
ENST00000246868	Q9Y3A5
ENST00000247003	Q9Y6V7-1
ENST00000247026	Q9H0G5
ENST00000247161	P19419-1
ENST00000247655	P15954
ENST00000247866	O95178
ENST00000247930	Q9ULD5
ENST00000247970	Q13526
ENST00000248342	Q9UBQ5-1
ENST00000248378	Q9BV81
ENST00000248450	Q13685
ENST00000248451	Q8N490-2
ENST00000248566	P60896-1
ENST00000248594	Q05209-1
ENST00000248879	Q9BY27
ENST00000248929	Q96HU1-1
ENST00000249209	Q5J8M3-2
ENST00000249289	Q16864-1
ENST00000249356	Q9UBS3
ENST00000249442	O75431-1
ENST00000249786	P84101-1
ENST00000250113	P51116
ENST00000250405	Q92843-1
ENST00000250454	Q56P03
ENST00000250489	Q86T03-1
ENST00000250495	Q15843
ENST00000250498	P61803
ENST00000250894	Q9UPT6-1
ENST00000251047	P49257
ENST00000251241	Q8IX18-1
ENST00000251343	O15037
ENST00000251413	P23258
ENST00000251453	P62249
ENST00000251527	A0A499FIX8
ENST00000251636	Q7Z478
ENST00000251849	P04049-1
ENST00000252015	Q8TEL6-1
ENST00000252102	O43678-1
ENST00000252445	P60002
ENST00000252542	Q14151-1
ENST00000252602	Q9BQ48
ENST00000252603	O95336
ENST00000252699	O43707-1
ENST00000252816	U3KQK1
ENST00000253003	Q16186
ENST00000253023	P61081
ENST00000253024	Q13263-1
ENST00000253039	P41091
ENST00000253108	O75821
ENST00000253329	Q8WUA2
ENST00000253413	P36543-1
ENST00000253452	P13073
ENST00000253457	O43402-1
ENST00000253686	P82663-1
ENST00000253699	Q9H1K0-1
ENST00000253727	P55055-1
ENST00000253788	P61353
ENST00000253794	Q9BRG1
ENST00000254337	Q66K64
ENST00000254480	Q92922
ENST00000254616	Q9Y5J6
ENST00000254654	Q9H0C8
ENST00000254719	P27694
ENST00000254730	P57772-1
ENST00000254803	Q9NQZ2
ENST00000254806	Q969T9-1
ENST00000254810	P84243
ENST00000254821	O95218-2
ENST00000254928	O75616-1
ENST00000255174	Q9NX31
ENST00000255304	Q5W0Q7-1
ENST00000255608	Q9BX70-1
ENST00000255641	P78368
ENST00000255764	Q9BTT4
ENST00000255977	Q9UHC7-1
ENST00000256015	P62324
ENST00000256079	O15397-1
ENST00000256255	Q96BY9-1
ENST00000256383	P05198
ENST00000256429	Q9UBB5-1
ENST00000256433	Q9Y5U9
ENST00000256441	P82909
ENST00000256496	Q9NVJ2-1
ENST00000256545	Q9NPA0
ENST00000256682	P61204-1
ENST00000256689	Q96QD8-1
ENST00000256854	O43776-1
ENST00000257013	A6ZKI3
ENST00000257181	Q8NAV1-1
ENST00000257245	P62072
ENST00000257663	Q9H2L4
ENST00000257787	Q53H80
ENST00000257829	Q9H0A0-1
ENST00000257857	P08962-1
ENST00000257904	P11802-1
ENST00000257966	Q13438-7
ENST00000258083	Q9BSG0
ENST00000258105	Q96EL3
ENST00000258198	O43237-1
ENST00000258383	Q9H9J2
ENST00000258418	Q9Y376
ENST00000258424	P10606
ENST00000258439	O75204
ENST00000258455	P82933
ENST00000258648	Q9NPJ6-1
ENST00000258662	Q9NV35
ENST00000258739	P33947-1
ENST00000258947	Q13137-1
ENST00000258955	Q9HA92-1
ENST00000258960	P30419-1
ENST00000258963	J9JIC7
ENST00000259050	Q9H992-1
ENST00000259339	O14657
ENST00000259457	Q99436-1
ENST00000259512	Q9BUN8-1
ENST00000259632	O75935-1
ENST00000259667	Q9BX68
ENST00000259963	Q9UBU6
ENST00000260045	O43422-1
ENST00000260102	Q9P015
ENST00000260130	O00560-1
ENST00000260210	Q9BRD0-1
ENST00000260270	P10109
ENST00000260379	P05386-1
ENST00000260443	Q9UHA3
ENST00000260641	P61160-1
ENST00000260643	Q9HCU5
ENST00000260665	P42704
ENST00000260818	O75165
ENST00000260952	Q9NWL6-1
ENST00000260956	P05455
ENST00000261070	Q14061
ENST00000261167	Q9Y2W2
ENST00000261303	P62191-1
ENST00000261313	P30086
ENST00000261353	P62699
ENST00000261396	Q8WUM0
ENST00000261427	P61086-1
ENST00000261461	Q15172-1
ENST00000261479	P60900-1
ENST00000261497	Q9UPT9-1
ENST00000261574	O00410-3
ENST00000261601	P54578-1
ENST00000261636	P40616-1
ENST00000261658	Q9NZS9-1
ENST00000261667	O00505
ENST00000261674	Q12872-1
ENST00000261692	O14519-1
ENST00000261700	Q9Y224
ENST00000261712	O00231-1
ENST00000261716	Q7L7X3-1
ENST00000261721	Q9H0C5-1
ENST00000261735	P30040-1
ENST00000261772	P49588-1
ENST00000261797	P52848-1
ENST00000261798	P48729-2
ENST00000261813	O60925
ENST00000261866	Q96JI7-1
ENST00000261868	O75822-1
ENST00000261884	Q15650
ENST00000261890	P62491-1
ENST00000261942	Q96CS3
ENST00000261973	P49756-1
ENST00000262013	O60271-1
ENST00000262033	Q15185-1
ENST00000262056	P23588-1
ENST00000262061	P61923-1
ENST00000262077	P49790-1
ENST00000262144	Q6PJI9-1
ENST00000262177	O75190-1
ENST00000262187	Q15382
ENST00000262193	P20618
ENST00000262213	Q15629-1
ENST00000262225	Q15363
ENST00000262238	P25490
ENST00000262306	Q15370-2
ENST00000262319	Q9Y4R8
ENST00000262367	Q92793-1
ENST00000262370	O60291-2
ENST00000262384	O75113
ENST00000262394	Q9Y6I7-1
ENST00000262455	Q9BS26
ENST00000262482	Q9H6Y7-1
